CustomerID,Recency,Frequency,Monetary,FirstPurchaseDate,LastPurchaseDate,R_Score,F_Score,M_Score,RFM_Score,Segment
15899,369,1,56.25,"2010-12-06 10:36:00","2010-12-06 10:36:00",1,1,1,111,Hibernating
17775,255,1,56.40,"2011-03-30 10:50:00","2011-03-30 10:50:00",1,1,1,111,Hibernating
13080,180,1,58.08,"2011-06-13 14:59:00","2011-06-13 14:59:00",1,1,1,111,Hibernating
14957,254,1,58.49,"2011-03-31 17:59:00","2011-03-31 17:59:00",1,1,1,111,Hibernating
13682,188,1,59.50,"2011-06-05 14:06:00","2011-06-05 14:06:00",1,1,1,111,Hibernating
13391,204,1,59.80,"2011-05-20 10:50:00","2011-05-20 10:50:00",1,1,1,111,Hibernating
17174,218,1,59.90,"2011-05-06 11:47:00","2011-05-06 11:47:00",1,1,1,111,Hibernating
13194,136,1,60.70,"2011-07-27 09:01:00","2011-07-27 09:01:00",2,2,1,221,Hibernating
15516,45,3,62.43,"2011-10-24 11:33:00","2011-10-26 10:51:00",3,4,1,341,"Loyal Customers"
13218,128,1,62.64,"2011-08-04 16:59:00","2011-08-04 16:59:00",2,2,1,221,Hibernating
14840,268,1,62.85,"2011-03-17 12:00:00","2011-03-17 12:00:00",1,1,1,111,Hibernating
12665,325,1,63.00,"2011-01-19 08:34:00","2011-01-19 08:34:00",1,1,1,111,Hibernating
14437,366,1,63.00,"2010-12-09 09:27:00","2010-12-09 09:27:00",1,1,1,111,Hibernating
17263,209,1,63.44,"2011-05-15 14:32:00","2011-05-15 14:32:00",1,1,1,111,Hibernating
13302,156,1,63.75,"2011-07-07 17:56:00","2011-07-07 17:56:00",2,2,1,221,Hibernating
13130,95,1,64.00,"2011-09-06 15:30:00","2011-09-06 15:30:00",2,2,1,221,Hibernating
13684,286,1,65.13,"2011-02-27 10:13:00","2011-02-27 10:13:00",1,1,1,111,Hibernating
17382,66,1,65.40,"2011-10-05 13:05:00","2011-10-05 13:05:00",3,2,1,321,"Needs Attention"
14393,219,1,67.95,"2011-05-05 18:16:00","2011-05-05 18:16:00",1,1,1,111,Hibernating
15863,26,2,68.84,"2011-05-31 11:36:00","2011-11-14 12:49:00",4,2,1,421,"New Customers"
18037,155,6,70.02,"2010-12-12 16:20:00","2011-07-08 13:39:00",2,5,1,251,"Cant Lose Them"
17022,32,1,71.00,"2011-11-08 17:09:00","2011-11-08 17:09:00",4,2,1,421,"New Customers"
13185,268,1,71.40,"2011-03-17 11:56:00","2011-03-17 11:56:00",1,1,1,111,Hibernating
17747,113,1,71.40,"2011-08-19 08:13:00","2011-08-19 08:13:00",2,2,1,221,Hibernating
13938,36,1,71.66,"2011-11-04 14:37:00","2011-11-04 14:37:00",3,2,1,321,"Needs Attention"
13686,183,1,72.00,"2011-06-10 09:10:00","2011-06-10 09:10:00",1,1,1,111,Hibernating
17906,248,1,72.90,"2011-04-06 17:25:00","2011-04-06 17:25:00",1,1,1,111,Hibernating
16171,60,1,73.20,"2011-10-11 14:51:00","2011-10-11 14:51:00",3,2,1,321,"Needs Attention"
12506,233,1,73.50,"2011-04-21 08:54:00","2011-04-21 08:54:00",1,1,1,111,Hibernating
18032,335,1,73.50,"2011-01-09 15:32:00","2011-01-09 15:32:00",1,1,1,111,Hibernating
17960,172,1,73.78,"2011-06-21 14:15:00","2011-06-21 14:15:00",2,1,1,211,Hibernating
18050,360,1,74.40,"2010-12-15 14:25:00","2010-12-15 14:25:00",1,1,1,111,Hibernating
13095,71,1,74.40,"2011-09-30 12:03:00","2011-09-30 12:03:00",3,2,1,321,"Needs Attention"
16468,75,1,74.90,"2011-09-26 14:13:00","2011-09-26 14:13:00",2,2,1,221,Hibernating
13403,18,1,75.00,"2011-11-22 08:28:00","2011-11-22 08:28:00",4,1,1,411,"New Customers"
16610,220,1,75.66,"2011-05-04 13:13:00","2011-05-04 13:13:00",1,1,1,111,Hibernating
17628,82,1,75.75,"2011-09-19 15:21:00","2011-09-19 15:21:00",2,2,1,221,Hibernating
17995,282,1,76.10,"2011-03-03 12:30:00","2011-03-03 12:30:00",1,1,1,111,Hibernating
15668,218,1,76.32,"2011-05-06 10:39:00","2011-05-06 10:39:00",1,1,1,111,Hibernating
16148,297,1,76.32,"2011-02-16 14:01:00","2011-02-16 14:01:00",1,1,1,111,Hibernating
14090,325,1,76.32,"2011-01-19 10:51:00","2011-01-19 10:51:00",1,1,1,111,Hibernating
18113,369,1,76.32,"2010-12-06 12:31:00","2010-12-06 12:31:00",1,1,1,111,Hibernating
17536,178,1,76.50,"2011-06-15 13:23:00","2011-06-15 13:23:00",2,1,1,211,Hibernating
13106,134,1,76.50,"2011-07-29 15:12:00","2011-07-29 15:12:00",2,2,1,221,Hibernating
14373,359,1,76.55,"2010-12-16 15:40:00","2010-12-16 15:40:00",1,1,1,111,Hibernating
13992,31,1,76.80,"2011-11-09 15:23:00","2011-11-09 15:23:00",4,2,1,421,"New Customers"
13132,262,1,77.30,"2011-03-23 12:44:00","2011-03-23 12:44:00",1,1,1,111,Hibernating
14785,11,2,77.40,"2011-11-24 13:40:00","2011-11-29 13:21:00",5,2,1,521,"New Customers"
17942,8,1,77.50,"2011-12-02 10:45:00","2011-12-02 10:45:00",5,1,1,511,"New Customers"
16078,284,1,79.20,"2011-03-01 09:47:00","2011-03-01 09:47:00",1,1,1,111,Hibernating
15753,305,1,79.20,"2011-02-08 12:41:00","2011-02-08 12:41:00",1,1,1,111,Hibernating
13747,374,1,79.60,"2010-12-01 10:37:00","2010-12-01 10:37:00",1,1,1,111,Hibernating
17752,360,1,80.64,"2010-12-15 16:19:00","2010-12-15 16:19:00",1,1,1,111,Hibernating
13967,146,1,80.70,"2011-07-17 12:02:00","2011-07-17 12:02:00",2,2,1,221,Hibernating
16789,9,1,80.80,"2011-12-01 15:12:00","2011-12-01 15:12:00",5,1,1,511,"New Customers"
18281,181,1,80.82,"2011-06-12 10:53:00","2011-06-12 10:53:00",1,1,1,111,Hibernating
17620,60,1,81.44,"2011-10-11 12:08:00","2011-10-11 12:08:00",3,2,1,321,"Needs Attention"
13006,57,1,81.57,"2011-10-14 13:49:00","2011-10-14 13:49:00",3,2,1,321,"Needs Attention"
17309,96,1,82.75,"2011-09-05 15:20:00","2011-09-05 15:20:00",2,2,1,221,Hibernating
12401,304,1,84.30,"2011-02-09 13:50:00","2011-02-09 13:50:00",1,1,1,111,Hibernating
13666,61,3,84.65,"2011-02-25 13:05:00","2011-10-10 15:39:00",3,4,1,341,"Loyal Customers"
15729,213,1,85.00,"2011-05-11 12:36:00","2011-05-11 12:36:00",1,1,1,111,Hibernating
13841,253,1,85.00,"2011-04-01 12:10:00","2011-04-01 12:10:00",1,1,1,111,Hibernating
15541,115,1,85.13,"2011-08-17 14:58:00","2011-08-17 14:58:00",2,2,1,221,Hibernating
13296,138,1,87.40,"2011-07-25 13:46:00","2011-07-25 13:46:00",2,2,1,221,Hibernating
15180,368,1,87.50,"2010-12-07 14:57:00","2010-12-07 14:57:00",1,1,1,111,Hibernating
15083,257,1,88.20,"2011-03-28 12:18:00","2011-03-28 12:18:00",1,1,1,111,Hibernating
12353,205,1,89.00,"2011-05-19 17:47:00","2011-05-19 17:47:00",1,1,1,111,Hibernating
14436,99,1,89.06,"2011-09-02 10:13:00","2011-09-02 10:13:00",2,2,1,221,Hibernating
12686,372,1,89.14,"2010-12-03 09:51:00","2010-12-03 09:51:00",1,1,1,111,Hibernating
14760,298,1,89.20,"2011-02-15 16:27:00","2011-02-15 16:27:00",1,1,1,111,Hibernating
14219,5,1,89.94,"2011-12-05 16:23:00","2011-12-05 16:23:00",5,1,1,511,"New Customers"
14974,38,1,89.94,"2011-11-02 13:01:00","2011-11-02 13:01:00",3,2,1,321,"Needs Attention"
14117,144,1,90.00,"2011-07-19 09:49:00","2011-07-19 09:49:00",2,2,1,221,Hibernating
16597,5,1,90.04,"2011-12-05 15:44:00","2011-12-05 15:44:00",5,1,1,511,"New Customers"
15552,218,1,90.12,"2011-05-06 14:47:00","2011-05-06 14:47:00",1,1,1,111,Hibernating
16506,20,2,90.30,"2011-10-30 15:50:00","2011-11-20 12:17:00",4,2,1,421,"New Customers"
18084,17,1,90.48,"2011-11-23 13:57:00","2011-11-23 13:57:00",4,1,1,411,"New Customers"
14353,216,1,90.60,"2011-05-08 16:06:00","2011-05-08 16:06:00",1,1,1,111,Hibernating
13947,66,1,90.60,"2011-10-05 14:42:00","2011-10-05 14:42:00",3,2,1,321,"Needs Attention"
15488,93,1,91.32,"2011-09-08 10:11:00","2011-09-08 10:11:00",2,2,1,221,Hibernating
12659,30,1,91.68,"2011-11-10 11:53:00","2011-11-10 11:53:00",4,2,1,421,"New Customers"
13551,320,1,91.80,"2011-01-24 14:46:00","2011-01-24 14:46:00",1,1,1,111,Hibernating
13160,23,1,91.80,"2011-11-17 13:07:00","2011-11-17 13:07:00",4,1,1,411,"New Customers"
12789,66,1,91.85,"2011-10-05 13:34:00","2011-10-05 13:34:00",3,2,1,321,"Needs Attention"
14054,66,1,92.46,"2011-10-05 15:49:00","2011-10-05 15:49:00",3,2,1,321,"Needs Attention"
12821,215,1,92.72,"2011-05-09 15:51:00","2011-05-09 15:51:00",1,1,1,111,Hibernating
17991,226,2,93.35,"2011-04-27 16:39:00","2011-04-28 15:58:00",1,3,1,131,"Cant Lose Them"
13283,60,2,93.66,"2011-06-07 12:39:00","2011-10-11 09:50:00",3,3,1,331,"Loyal Customers"
18227,218,1,93.75,"2011-05-06 12:23:00","2011-05-06 12:23:00",1,1,1,111,Hibernating
15428,16,1,93.78,"2011-11-24 16:54:00","2011-11-24 16:54:00",4,1,1,411,"New Customers"
18033,66,1,93.82,"2011-10-05 17:28:00","2011-10-05 17:28:00",3,2,1,321,"Needs Attention"
15397,290,1,94.00,"2011-02-23 09:25:00","2011-02-23 09:25:00",1,1,1,111,Hibernating
16339,285,1,94.05,"2011-02-28 13:41:00","2011-02-28 13:41:00",1,1,1,111,Hibernating
13651,36,2,94.20,"2011-10-31 12:11:00","2011-11-04 14:59:00",3,3,1,331,"Loyal Customers"
16387,323,1,94.36,"2011-01-21 11:34:00","2011-01-21 11:34:00",1,1,1,111,Hibernating
12548,167,1,95.20,"2011-06-26 15:35:00","2011-06-26 15:35:00",2,1,1,211,Hibernating
18249,18,1,95.34,"2011-11-22 15:07:00","2011-11-22 15:07:00",4,1,1,411,"New Customers"
17895,45,1,95.45,"2011-10-26 17:00:00","2011-10-26 17:00:00",3,2,1,321,"Needs Attention"
17024,46,3,95.85,"2011-07-05 09:31:00","2011-10-25 13:47:00",3,4,1,341,"Loyal Customers"
14642,59,1,96.12,"2011-10-12 11:08:00","2011-10-12 11:08:00",3,2,1,321,"Needs Attention"
15216,88,1,96.60,"2011-09-13 11:41:00","2011-09-13 11:41:00",2,2,1,221,Hibernating
17325,281,1,96.80,"2011-03-04 13:09:00","2011-03-04 13:09:00",1,1,1,111,Hibernating
12984,19,1,97.50,"2011-11-21 12:37:00","2011-11-21 12:37:00",4,1,1,411,"New Customers"
15422,324,2,97.70,"2011-01-20 14:17:00","2011-01-20 16:17:00",1,3,1,131,"Cant Lose Them"
17349,180,1,98.25,"2011-06-13 14:29:00","2011-06-13 14:29:00",1,1,1,111,Hibernating
17538,26,1,98.42,"2011-11-14 12:12:00","2011-11-14 12:12:00",4,1,1,411,"New Customers"
15256,149,1,98.45,"2011-07-14 11:47:00","2011-07-14 11:47:00",2,2,1,221,Hibernating
17939,160,1,99.14,"2011-07-03 12:27:00","2011-07-03 12:27:00",2,2,1,221,Hibernating
13703,319,1,99.50,"2011-01-25 13:10:00","2011-01-25 13:10:00",1,1,1,111,Hibernating
14371,296,1,100.50,"2011-02-17 16:35:00","2011-02-17 16:35:00",1,1,1,111,Hibernating
17427,72,1,100.80,"2011-09-29 11:29:00","2011-09-29 11:29:00",3,2,1,321,"Needs Attention"
14946,15,1,100.90,"2011-11-25 13:33:00","2011-11-25 13:33:00",4,1,1,411,"New Customers"
16498,162,2,100.97,"2011-06-30 19:52:00","2011-07-01 15:07:00",2,3,1,231,"Cant Lose Them"
16344,159,1,101.10,"2011-07-04 15:50:00","2011-07-04 15:50:00",2,2,1,221,Hibernating
13101,235,1,101.19,"2011-04-19 14:37:00","2011-04-19 14:37:00",1,1,1,111,Hibernating
18086,275,1,101.34,"2011-03-10 13:34:00","2011-03-10 13:34:00",1,1,1,111,Hibernating
16006,212,1,101.40,"2011-05-12 13:12:00","2011-05-12 13:12:00",1,1,1,111,Hibernating
17643,374,1,101.55,"2010-12-01 14:38:00","2010-12-01 14:38:00",1,1,1,111,Hibernating
18068,290,1,101.70,"2011-02-23 14:50:00","2011-02-23 14:50:00",1,1,1,111,Hibernating
16516,31,1,101.70,"2011-11-09 14:59:00","2011-11-09 14:59:00",4,2,1,421,"New Customers"
15212,242,1,101.80,"2011-04-12 13:45:00","2011-04-12 13:45:00",1,1,1,111,Hibernating
13948,361,1,102.00,"2010-12-14 10:18:00","2010-12-14 10:18:00",1,1,1,111,Hibernating
14981,247,1,102.12,"2011-04-07 13:45:00","2011-04-07 13:45:00",1,1,1,111,Hibernating
17962,143,1,102.41,"2011-07-20 14:16:00","2011-07-20 14:16:00",2,2,1,221,Hibernating
14836,11,3,102.45,"2011-11-09 13:26:00","2011-11-29 16:45:00",5,3,1,531,"Loyal Customers"
18011,374,1,102.79,"2010-12-01 17:35:00","2010-12-01 17:35:00",1,1,1,111,Hibernating
14542,186,1,103.25,"2011-06-07 08:19:00","2011-06-07 08:19:00",1,1,1,111,Hibernating
17548,234,1,103.30,"2011-04-20 12:01:00","2011-04-20 12:01:00",1,1,1,111,Hibernating
18255,90,1,103.30,"2011-09-11 13:16:00","2011-09-11 13:16:00",2,2,1,221,Hibernating
18174,8,1,104.00,"2011-12-02 16:56:00","2011-12-02 16:56:00",5,1,1,511,"New Customers"
15958,75,1,104.35,"2011-09-26 13:41:00","2011-09-26 13:41:00",2,2,1,221,Hibernating
15607,337,1,104.76,"2011-01-07 12:44:00","2011-01-07 12:44:00",1,1,1,111,Hibernating
14027,61,1,104.82,"2011-10-10 09:01:00","2011-10-10 09:01:00",3,2,1,321,"Needs Attention"
15775,246,1,104.90,"2011-04-08 12:56:00","2011-04-08 12:56:00",1,1,1,111,Hibernating
16581,183,1,105.84,"2011-06-10 10:05:00","2011-06-10 10:05:00",1,1,1,111,Hibernating
17791,30,1,106.10,"2011-11-10 12:09:00","2011-11-10 12:09:00",4,2,1,421,"New Customers"
15070,373,1,106.20,"2010-12-02 11:23:00","2010-12-02 11:23:00",1,1,1,111,Hibernating
15168,26,1,106.56,"2011-11-14 11:26:00","2011-11-14 11:26:00",4,1,1,411,"New Customers"
16757,319,1,106.83,"2011-01-25 11:59:00","2011-01-25 11:59:00",1,1,1,111,Hibernating
17893,226,1,107.21,"2011-04-28 13:50:00","2011-04-28 13:50:00",1,1,1,111,Hibernating
15395,326,1,107.45,"2011-01-18 12:40:00","2011-01-18 12:40:00",1,1,1,111,Hibernating
16784,20,1,107.60,"2011-11-20 12:20:00","2011-11-20 12:20:00",4,1,1,411,"New Customers"
17274,36,1,107.82,"2011-11-04 13:16:00","2011-11-04 13:16:00",3,2,1,321,"Needs Attention"
14661,27,1,107.95,"2011-11-13 11:51:00","2011-11-13 11:51:00",4,1,1,411,"New Customers"
12956,307,1,108.07,"2011-02-06 16:08:00","2011-02-06 16:08:00",1,1,1,111,Hibernating
13226,274,1,108.21,"2011-03-11 14:35:00","2011-03-11 14:35:00",1,1,1,111,Hibernating
16106,66,1,108.38,"2011-10-05 10:37:00","2011-10-05 10:37:00",3,2,1,321,"Needs Attention"
17639,277,1,108.50,"2011-03-08 15:22:00","2011-03-08 15:22:00",1,1,1,111,Hibernating
13170,27,1,108.81,"2011-11-13 12:19:00","2011-11-13 12:19:00",4,1,1,411,"New Customers"
14345,39,1,108.98,"2011-11-01 09:51:00","2011-11-01 09:51:00",3,2,1,321,"Needs Attention"
14699,215,1,109.13,"2011-05-09 14:54:00","2011-05-09 14:54:00",1,1,1,111,Hibernating
16363,54,1,109.36,"2011-10-17 14:14:00","2011-10-17 14:14:00",3,2,1,321,"Needs Attention"
13133,274,2,109.80,"2011-02-08 15:48:00","2011-03-11 10:31:00",1,3,1,131,"Cant Lose Them"
17836,48,1,110.21,"2011-10-23 16:13:00","2011-10-23 16:13:00",3,2,1,321,"Needs Attention"
17746,241,1,110.25,"2011-04-13 14:31:00","2011-04-13 14:31:00",1,1,1,111,Hibernating
17901,30,1,110.38,"2011-11-10 17:29:00","2011-11-10 17:29:00",4,2,1,421,"New Customers"
18277,59,1,110.38,"2011-10-12 15:22:00","2011-10-12 15:22:00",3,2,1,321,"Needs Attention"
16792,283,2,110.38,"2011-03-02 14:39:00","2011-03-02 14:41:00",1,3,1,131,"Cant Lose Them"
12734,353,1,110.40,"2010-12-22 12:47:00","2010-12-22 12:47:00",1,1,1,111,Hibernating
14641,22,1,110.46,"2011-11-18 10:42:00","2011-11-18 10:42:00",4,1,1,411,"New Customers"
16963,188,1,110.55,"2011-06-05 13:48:00","2011-06-05 13:48:00",1,1,1,111,Hibernating
15853,52,1,110.80,"2011-10-19 10:38:00","2011-10-19 10:38:00",3,2,1,321,"Needs Attention"
15537,164,1,110.92,"2011-06-29 13:10:00","2011-06-29 13:10:00",2,1,1,211,Hibernating
13144,333,1,110.95,"2011-01-11 11:15:00","2011-01-11 11:15:00",1,1,1,111,Hibernating
13508,244,1,110.97,"2011-04-10 11:58:00","2011-04-10 11:58:00",1,1,1,111,Hibernating
18120,215,1,111.15,"2011-05-09 13:45:00","2011-05-09 13:45:00",1,1,1,111,Hibernating
17887,130,1,111.35,"2011-08-02 17:29:00","2011-08-02 17:29:00",2,2,1,221,Hibernating
17957,67,1,111.68,"2011-10-04 14:58:00","2011-10-04 14:58:00",3,2,1,321,"Needs Attention"
13193,62,1,112.08,"2011-10-09 14:30:00","2011-10-09 14:30:00",3,2,1,321,"Needs Attention"
12756,87,1,112.08,"2011-09-14 09:31:00","2011-09-14 09:31:00",2,2,1,221,Hibernating
17900,191,2,112.20,"2011-06-02 14:28:00","2011-06-02 14:38:00",1,3,1,131,"Cant Lose Them"
17967,372,1,112.27,"2010-12-03 11:19:00","2010-12-03 11:19:00",1,1,1,111,Hibernating
14271,226,1,112.32,"2011-04-28 12:47:00","2011-04-28 12:47:00",1,1,1,111,Hibernating
17038,31,1,112.40,"2011-11-09 13:50:00","2011-11-09 13:50:00",4,2,1,421,"New Customers"
15610,52,1,112.46,"2011-10-19 10:36:00","2011-10-19 10:36:00",3,2,1,321,"Needs Attention"
18129,244,1,112.55,"2011-04-10 14:16:00","2011-04-10 14:16:00",1,1,1,111,Hibernating
13807,368,1,112.60,"2010-12-07 15:48:00","2010-12-07 15:48:00",1,1,1,111,Hibernating
16697,242,1,112.75,"2011-04-12 17:12:00","2011-04-12 17:12:00",1,1,1,111,Hibernating
13161,314,1,112.75,"2011-01-30 14:03:00","2011-01-30 14:03:00",1,1,1,111,Hibernating
14689,209,1,112.80,"2011-05-15 11:22:00","2011-05-15 11:22:00",1,1,1,111,Hibernating
15280,173,1,113.12,"2011-06-20 17:14:00","2011-06-20 17:14:00",2,1,1,211,Hibernating
16913,291,1,113.44,"2011-02-22 12:56:00","2011-02-22 12:56:00",1,1,1,111,Hibernating
18105,38,1,113.48,"2011-11-02 12:04:00","2011-11-02 12:04:00",3,2,1,321,"Needs Attention"
17217,235,1,113.50,"2011-04-19 17:19:00","2011-04-19 17:19:00",1,1,1,111,Hibernating
15445,265,1,113.50,"2011-03-20 15:06:00","2011-03-20 15:06:00",1,1,1,111,Hibernating
14457,311,1,113.64,"2011-02-02 09:39:00","2011-02-02 09:39:00",1,1,1,111,Hibernating
12651,335,1,114.00,"2011-01-09 12:46:00","2011-01-09 12:46:00",1,1,1,111,Hibernating
14582,41,1,114.11,"2011-10-30 11:56:00","2011-10-30 11:56:00",3,2,1,321,"Needs Attention"
12938,26,1,114.14,"2011-11-14 11:21:00","2011-11-14 11:21:00",4,1,1,411,"New Customers"
14652,78,1,114.18,"2011-09-23 14:21:00","2011-09-23 14:21:00",2,2,1,221,Hibernating
17219,32,1,114.23,"2011-11-08 11:25:00","2011-11-08 11:25:00",4,2,1,421,"New Customers"
17852,12,2,114.34,"2011-11-28 12:31:00","2011-11-28 12:36:00",5,2,1,521,"New Customers"
16247,171,1,114.56,"2011-06-22 14:23:00","2011-06-22 14:23:00",2,1,1,211,Hibernating
14632,263,1,114.56,"2011-03-22 08:49:00","2011-03-22 08:49:00",1,1,1,111,Hibernating
13188,12,1,114.60,"2011-11-28 15:28:00","2011-11-28 15:28:00",5,1,1,511,"New Customers"
14972,129,1,114.77,"2011-08-03 14:54:00","2011-08-03 14:54:00",2,2,1,221,Hibernating
18027,99,1,115.31,"2011-09-02 10:38:00","2011-09-02 10:38:00",2,2,1,221,Hibernating
13067,83,1,115.46,"2011-09-18 13:38:00","2011-09-18 13:38:00",2,2,1,221,Hibernating
15350,374,1,115.65,"2010-12-01 13:33:00","2010-12-01 13:33:00",1,1,1,111,Hibernating
14143,134,1,115.80,"2011-07-29 09:48:00","2011-07-29 09:48:00",2,2,1,221,Hibernating
17601,240,1,116.01,"2011-04-14 18:02:00","2011-04-14 18:02:00",1,1,1,111,Hibernating
17117,289,1,116.20,"2011-02-24 13:54:00","2011-02-24 13:54:00",1,1,1,111,Hibernating
13877,87,1,117.24,"2011-09-14 15:49:00","2011-09-14 15:49:00",2,2,1,221,Hibernating
16959,88,1,117.35,"2011-09-13 15:03:00","2011-09-13 15:03:00",2,2,1,221,Hibernating
17654,278,1,117.55,"2011-03-07 13:17:00","2011-03-07 13:17:00",1,1,1,111,Hibernating
12929,312,1,117.85,"2011-02-01 12:08:00","2011-02-01 12:08:00",1,1,1,111,Hibernating
13581,310,1,118.00,"2011-02-03 14:41:00","2011-02-03 14:41:00",1,1,1,111,Hibernating
14076,130,1,118.67,"2011-08-02 15:19:00","2011-08-02 15:19:00",2,2,1,221,Hibernating
14155,267,1,118.75,"2011-03-18 14:13:00","2011-03-18 14:13:00",1,1,1,111,Hibernating
17079,79,1,118.80,"2011-09-22 15:34:00","2011-09-22 15:34:00",2,2,1,221,Hibernating
15843,304,1,118.95,"2011-02-09 10:19:00","2011-02-09 10:19:00",1,1,1,111,Hibernating
16666,20,1,118.98,"2011-11-20 14:01:00","2011-11-20 14:01:00",4,1,1,411,"New Customers"
15266,339,1,119.30,"2011-01-05 13:40:00","2011-01-05 13:40:00",1,1,1,111,Hibernating
